model,scenario_id,status,objective_score,objective_score_raw,topic_floor_penalized,coherence_cv,topic_diversity,num_topics,num_outliers,outlier_pct,runtime_seconds,params_json,num_outliers_before_reduce,num_outliers_after_reduce,outlier_pct_before_reduce,outlier_pct_after_reduce
BERTopic,bertopic_014,ok,0.613155,0.613155,False,0.4587,0.9,9,0,0.0,82.63,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 30, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 10, ""min_samples"": 2, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",83,0,17.55,0.0
BERTopic,bertopic_009,ok,0.610945,0.610945,False,0.4553,0.9,9,0,0.0,105.41,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 15, ""n_gram_range"": [1, 2], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 45, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 8, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",62,0,13.11,0.0
BERTopic,bertopic_018,ok,0.61036,0.61036,False,0.4544,0.9,11,0,0.0,68.4,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 10, ""nr_topics"": 14, ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 30, ""n_components"": 5, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 10, ""min_samples"": 2, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",72,0,15.22,0.0
BERTopic,bertopic_007,ok,0.607925,0.607925,False,0.4387,0.9222,9,0,0.0,99.77,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 30, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 10, ""min_samples"": 2, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",83,0,17.55,0.0
BERTopic,bertopic_012,ok,0.60578,0.60578,False,0.4249,0.9417,12,0,0.0,124.82,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 30, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 10, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",59,0,12.47,0.0
BERTopic,bertopic_011,ok,0.5998,0.5998,False,0.4724,0.8364,11,0,0.0,130.6,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 10, ""nr_topics"": ""auto"", ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 15, ""n_components"": 5, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 6, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",81,0,17.12,0.0
BERTopic,bertopic_019,ok,0.598075,0.598075,False,0.4404,0.8909,11,0,0.0,156.48,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 15, ""n_components"": 5, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 6, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",81,0,17.12,0.0
BERTopic,bertopic_004,ok,0.59203,0.59203,False,0.4409,0.8727,11,0,0.0,134.27,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 45, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 6, ""min_samples"": 2, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",141,0,29.81,0.0
BERTopic,bertopic_002,ok,0.58476,0.58476,False,0.4316,0.8692,13,0,0.0,149.48,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 45, ""n_components"": 8, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 6, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",85,0,17.97,0.0
BERTopic,bertopic_016,ok,0.582305,0.582305,False,0.4247,0.875,12,0,0.0,113.98,"{""embedding_model"": ""denaya/indoSBERT-large"", ""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""vectorizer_min_df"": 2, ""vectorizer_max_df"": 0.95, ""vectorizer_token_pattern"": ""(?u)\\b\\w{3,}\\b"", ""vectorizer_fallback_min_df"": 1, ""vectorizer_fallback_max_df"": 1.0, ""coherence_type"": ""c_v"", ""coherence_tokenization"": ""vectorizer"", ""coherence_dict_no_below"": 3, ""coherence_dict_no_above"": 0.95, ""reduce_outliers"": true, ""reduce_outliers_threshold_ctfidf"": 0.1, ""reduce_outliers_use_distributions"": true, ""reduce_outliers_threshold_distributions"": 0.05, ""use_mmr_representation"": true, ""mmr_diversity"": 0.3, ""embedding_batch_size"": 16, ""seed"": 42, ""umap_params"": {""n_neighbors"": 30, ""n_components"": 5, ""min_dist"": 0.0, ""metric"": ""cosine"", ""random_state"": 42}, ""hdbscan_params"": {""min_cluster_size"": 10, ""min_samples"": 1, ""metric"": ""euclidean"", ""cluster_selection_method"": ""eom""}}",55,0,11.63,0.0
