model,scenario_id,combo
BERTopic,bertopic_001,"{""min_topic_size"": 6, ""nr_topics"": 11, ""top_n_words"": 15, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 45, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_002,"{""min_topic_size"": 6, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_003,"{""min_topic_size"": 8, ""nr_topics"": 8, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 15, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_004,"{""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_005,"{""min_topic_size"": 8, ""nr_topics"": ""auto"", ""top_n_words"": 15, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 30, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 8, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_006,"{""min_topic_size"": 6, ""nr_topics"": 11, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_007,"{""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 30, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 10, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_008,"{""min_topic_size"": 10, ""nr_topics"": 11, ""top_n_words"": 20, ""n_gram_range"": [1, 1], ""umap_n_neighbors"": 15, ""umap_n_components"": 5, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 2, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_009,"{""min_topic_size"": 6, ""nr_topics"": 10, ""top_n_words"": 15, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 45, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 8, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
BERTopic,bertopic_010,"{""min_topic_size"": 10, ""nr_topics"": 12, ""top_n_words"": 20, ""n_gram_range"": [1, 2], ""umap_n_neighbors"": 15, ""umap_n_components"": 8, ""umap_metric"": ""cosine"", ""hdbscan_min_cluster_size"": 6, ""hdbscan_min_samples"": 1, ""hdbscan_metric"": ""euclidean""}"
