model,scenario_id,status,objective_score,objective_score_raw,topic_floor_penalized,coherence_cv,topic_diversity,num_topics,runtime_seconds,params_json
LDA,lda_009,ok,0.220312,0.220312,False,0.3525,0.625,8,8.04,"{""num_topics"": 8, ""passes"": 15, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_003,ok,0.209642,0.209642,False,0.3755,0.5583,12,11.74,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_019,ok,0.209642,0.209642,False,0.3755,0.5583,12,11.63,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_005,ok,0.208602,0.208602,False,0.3681,0.5667,12,12.01,"{""num_topics"": 12, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_001,ok,0.203859,0.203859,False,0.3755,0.5429,14,12.14,"{""num_topics"": 14, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 3, ""no_above"": 0.95}"
LDA,lda_018,ok,0.19965,0.19965,False,0.363,0.55,10,12.44,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_020,ok,0.19701,0.19701,False,0.3582,0.55,10,12.29,"{""num_topics"": 10, ""passes"": 25, ""iterations"": 200, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""symmetric"", ""eta"": null, ""no_below"": 3, ""no_above"": 0.9}"
LDA,lda_006,ok,0.195734,0.195734,False,0.3754,0.5214,14,7.81,"{""num_topics"": 14, ""passes"": 15, ""iterations"": 200, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": ""symmetric"", ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_007,ok,0.192578,0.192578,False,0.3473,0.5545,11,12.0,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 150, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.95}"
LDA,lda_012,ok,0.192578,0.192578,False,0.3473,0.5545,11,12.38,"{""num_topics"": 11, ""passes"": 25, ""iterations"": 300, ""chunksize"": 100, ""random_state"": 42, ""alpha"": ""asymmetric"", ""eta"": null, ""no_below"": 2, ""no_above"": 0.9}"
